camera_id,source_video,frame,timestamp,split,image
camA,data/cams/camA_20fps.mp4,15,0.75,train,data/vehicle_dataset/images/train/camA_000000_0000.75.jpg
camA,data/cams/camA_20fps.mp4,45,2.25,train,data/vehicle_dataset/images/train/camA_000001_0002.25.jpg
camA,data/cams/camA_20fps.mp4,75,3.75,train,data/vehicle_dataset/images/train/camA_000002_0003.75.jpg
camA,data/cams/camA_20fps.mp4,105,5.25,train,data/vehicle_dataset/images/train/camA_000003_0005.25.jpg
camA,data/cams/camA_20fps.mp4,135,6.75,train,data/vehicle_dataset/images/train/camA_000004_0006.75.jpg
camA,data/cams/camA_20fps.mp4,165,8.25,train,data/vehicle_dataset/images/train/camA_000005_0008.25.jpg
camA,data/cams/camA_20fps.mp4,195,9.75,train,data/vehicle_dataset/images/train/camA_000006_0009.75.jpg
camA,data/cams/camA_20fps.mp4,226,11.3,train,data/vehicle_dataset/images/train/camA_000007_0011.30.jpg
camA,data/cams/camA_20fps.mp4,256,12.8,train,data/vehicle_dataset/images/train/camA_000008_0012.80.jpg
camA,data/cams/camA_20fps.mp4,286,14.3,train,data/vehicle_dataset/images/train/camA_000009_0014.30.jpg
camA,data/cams/camA_20fps.mp4,316,15.8,train,data/vehicle_dataset/images/train/camA_000010_0015.80.jpg
camA,data/cams/camA_20fps.mp4,346,17.3,train,data/vehicle_dataset/images/train/camA_000011_0017.30.jpg
camA,data/cams/camA_20fps.mp4,376,18.8,train,data/vehicle_dataset/images/train/camA_000012_0018.80.jpg
camA,data/cams/camA_20fps.mp4,407,20.35,train,data/vehicle_dataset/images/train/camA_000013_0020.35.jpg
camA,data/cams/camA_20fps.mp4,437,21.85,train,data/vehicle_dataset/images/train/camA_000014_0021.85.jpg
camA,data/cams/camA_20fps.mp4,467,23.35,train,data/vehicle_dataset/images/train/camA_000015_0023.35.jpg
camA,data/cams/camA_20fps.mp4,497,24.85,train,data/vehicle_dataset/images/train/camA_000016_0024.85.jpg
camA,data/cams/camA_20fps.mp4,527,26.35,train,data/vehicle_dataset/images/train/camA_000017_0026.35.jpg
camA,data/cams/camA_20fps.mp4,557,27.85,train,data/vehicle_dataset/images/train/camA_000018_0027.85.jpg
camA,data/cams/camA_20fps.mp4,587,29.35,train,data/vehicle_dataset/images/train/camA_000019_0029.35.jpg
camA,data/cams/camA_20fps.mp4,618,30.9,train,data/vehicle_dataset/images/train/camA_000020_0030.90.jpg
camA,data/cams/camA_20fps.mp4,648,32.4,train,data/vehicle_dataset/images/train/camA_000021_0032.40.jpg
camA,data/cams/camA_20fps.mp4,678,33.9,train,data/vehicle_dataset/images/train/camA_000022_0033.90.jpg
camA,data/cams/camA_20fps.mp4,708,35.4,train,data/vehicle_dataset/images/train/camA_000023_0035.40.jpg
camA,data/cams/camA_20fps.mp4,738,36.9,train,data/vehicle_dataset/images/train/camA_000024_0036.90.jpg
camA,data/cams/camA_20fps.mp4,768,38.4,train,data/vehicle_dataset/images/train/camA_000025_0038.40.jpg
camA,data/cams/camA_20fps.mp4,798,39.9,train,data/vehicle_dataset/images/train/camA_000026_0039.90.jpg
camA,data/cams/camA_20fps.mp4,829,41.45,train,data/vehicle_dataset/images/train/camA_000027_0041.45.jpg
camA,data/cams/camA_20fps.mp4,859,42.95,train,data/vehicle_dataset/images/train/camA_000028_0042.95.jpg
camA,data/cams/camA_20fps.mp4,889,44.45,train,data/vehicle_dataset/images/train/camA_000029_0044.45.jpg
camA,data/cams/camA_20fps.mp4,919,45.95,train,data/vehicle_dataset/images/train/camA_000030_0045.95.jpg
camA,data/cams/camA_20fps.mp4,949,47.45,train,data/vehicle_dataset/images/train/camA_000031_0047.45.jpg
camA,data/cams/camA_20fps.mp4,979,48.95,train,data/vehicle_dataset/images/train/camA_000032_0048.95.jpg
camA,data/cams/camA_20fps.mp4,1010,50.5,train,data/vehicle_dataset/images/train/camA_000033_0050.50.jpg
camA,data/cams/camA_20fps.mp4,1040,52.0,train,data/vehicle_dataset/images/train/camA_000034_0052.00.jpg
camA,data/cams/camA_20fps.mp4,1070,53.5,train,data/vehicle_dataset/images/train/camA_000035_0053.50.jpg
camA,data/cams/camA_20fps.mp4,1100,55.0,train,data/vehicle_dataset/images/train/camA_000036_0055.00.jpg
camA,data/cams/camA_20fps.mp4,1130,56.5,train,data/vehicle_dataset/images/train/camA_000037_0056.50.jpg
camA,data/cams/camA_20fps.mp4,1160,58.0,train,data/vehicle_dataset/images/train/camA_000038_0058.00.jpg
camA,data/cams/camA_20fps.mp4,1190,59.5,train,data/vehicle_dataset/images/train/camA_000039_0059.50.jpg
camA,data/cams/camA_20fps.mp4,1221,61.05,train,data/vehicle_dataset/images/train/camA_000040_0061.05.jpg
camA,data/cams/camA_20fps.mp4,1251,62.55,train,data/vehicle_dataset/images/train/camA_000041_0062.55.jpg
camA,data/cams/camA_20fps.mp4,1281,64.05,train,data/vehicle_dataset/images/train/camA_000042_0064.05.jpg
camA,data/cams/camA_20fps.mp4,1311,65.55,train,data/vehicle_dataset/images/train/camA_000043_0065.55.jpg
camA,data/cams/camA_20fps.mp4,1341,67.05,train,data/vehicle_dataset/images/train/camA_000044_0067.05.jpg
camA,data/cams/camA_20fps.mp4,1371,68.55,train,data/vehicle_dataset/images/train/camA_000045_0068.55.jpg
camA,data/cams/camA_20fps.mp4,1401,70.05,train,data/vehicle_dataset/images/train/camA_000046_0070.05.jpg
camA,data/cams/camA_20fps.mp4,1432,71.6,train,data/vehicle_dataset/images/train/camA_000047_0071.60.jpg
camA,data/cams/camA_20fps.mp4,1462,73.1,train,data/vehicle_dataset/images/train/camA_000048_0073.10.jpg
camA,data/cams/camA_20fps.mp4,1492,74.6,train,data/vehicle_dataset/images/train/camA_000049_0074.60.jpg
camA,data/cams/camA_20fps.mp4,1522,76.1,train,data/vehicle_dataset/images/train/camA_000050_0076.10.jpg
camA,data/cams/camA_20fps.mp4,1552,77.6,train,data/vehicle_dataset/images/train/camA_000051_0077.60.jpg
camA,data/cams/camA_20fps.mp4,1582,79.1,train,data/vehicle_dataset/images/train/camA_000052_0079.10.jpg
camA,data/cams/camA_20fps.mp4,1613,80.65,train,data/vehicle_dataset/images/train/camA_000053_0080.65.jpg
camA,data/cams/camA_20fps.mp4,1643,82.15,train,data/vehicle_dataset/images/train/camA_000054_0082.15.jpg
camA,data/cams/camA_20fps.mp4,1673,83.65,train,data/vehicle_dataset/images/train/camA_000055_0083.65.jpg
camA,data/cams/camA_20fps.mp4,1703,85.15,train,data/vehicle_dataset/images/train/camA_000056_0085.15.jpg
camA,data/cams/camA_20fps.mp4,1733,86.65,train,data/vehicle_dataset/images/train/camA_000057_0086.65.jpg
camA,data/cams/camA_20fps.mp4,1763,88.15,train,data/vehicle_dataset/images/train/camA_000058_0088.15.jpg
camA,data/cams/camA_20fps.mp4,1793,89.65,train,data/vehicle_dataset/images/train/camA_000059_0089.65.jpg
camA,data/cams/camA_20fps.mp4,1824,91.2,train,data/vehicle_dataset/images/train/camA_000060_0091.20.jpg
camA,data/cams/camA_20fps.mp4,1854,92.7,train,data/vehicle_dataset/images/train/camA_000061_0092.70.jpg
camA,data/cams/camA_20fps.mp4,1884,94.2,train,data/vehicle_dataset/images/train/camA_000062_0094.20.jpg
camA,data/cams/camA_20fps.mp4,1914,95.7,train,data/vehicle_dataset/images/train/camA_000063_0095.70.jpg
camA,data/cams/camA_20fps.mp4,1944,97.2,train,data/vehicle_dataset/images/train/camA_000064_0097.20.jpg
camA,data/cams/camA_20fps.mp4,1974,98.7,train,data/vehicle_dataset/images/train/camA_000065_0098.70.jpg
camA,data/cams/camA_20fps.mp4,2004,100.2,train,data/vehicle_dataset/images/train/camA_000066_0100.20.jpg
camA,data/cams/camA_20fps.mp4,2035,101.75,train,data/vehicle_dataset/images/train/camA_000067_0101.75.jpg
camA,data/cams/camA_20fps.mp4,2065,103.25,train,data/vehicle_dataset/images/train/camA_000068_0103.25.jpg
camA,data/cams/camA_20fps.mp4,2095,104.75,train,data/vehicle_dataset/images/train/camA_000069_0104.75.jpg
camA,data/cams/camA_20fps.mp4,2125,106.25,train,data/vehicle_dataset/images/train/camA_000070_0106.25.jpg
camA,data/cams/camA_20fps.mp4,2155,107.75,train,data/vehicle_dataset/images/train/camA_000071_0107.75.jpg
camA,data/cams/camA_20fps.mp4,2185,109.25,train,data/vehicle_dataset/images/train/camA_000072_0109.25.jpg
camA,data/cams/camA_20fps.mp4,2216,110.8,train,data/vehicle_dataset/images/train/camA_000073_0110.80.jpg
camA,data/cams/camA_20fps.mp4,2246,112.3,train,data/vehicle_dataset/images/train/camA_000074_0112.30.jpg
camA,data/cams/camA_20fps.mp4,2276,113.8,train,data/vehicle_dataset/images/train/camA_000075_0113.80.jpg
camA,data/cams/camA_20fps.mp4,2306,115.3,train,data/vehicle_dataset/images/train/camA_000076_0115.30.jpg
camA,data/cams/camA_20fps.mp4,2336,116.8,train,data/vehicle_dataset/images/train/camA_000077_0116.80.jpg
camA,data/cams/camA_20fps.mp4,2366,118.3,train,data/vehicle_dataset/images/train/camA_000078_0118.30.jpg
camA,data/cams/camA_20fps.mp4,2396,119.8,train,data/vehicle_dataset/images/train/camA_000079_0119.80.jpg
camA,data/cams/camA_20fps.mp4,2427,121.35,train,data/vehicle_dataset/images/train/camA_000080_0121.35.jpg
camA,data/cams/camA_20fps.mp4,2457,122.85,train,data/vehicle_dataset/images/train/camA_000081_0122.85.jpg
camA,data/cams/camA_20fps.mp4,2487,124.35,train,data/vehicle_dataset/images/train/camA_000082_0124.35.jpg
camA,data/cams/camA_20fps.mp4,2517,125.85,train,data/vehicle_dataset/images/train/camA_000083_0125.85.jpg
camA,data/cams/camA_20fps.mp4,2547,127.35,train,data/vehicle_dataset/images/train/camA_000084_0127.35.jpg
camA,data/cams/camA_20fps.mp4,2577,128.85,train,data/vehicle_dataset/images/train/camA_000085_0128.85.jpg
camA,data/cams/camA_20fps.mp4,2607,130.35,train,data/vehicle_dataset/images/train/camA_000086_0130.35.jpg
camA,data/cams/camA_20fps.mp4,2638,131.9,train,data/vehicle_dataset/images/train/camA_000087_0131.90.jpg
camA,data/cams/camA_20fps.mp4,2668,133.4,train,data/vehicle_dataset/images/train/camA_000088_0133.40.jpg
camA,data/cams/camA_20fps.mp4,2698,134.9,train,data/vehicle_dataset/images/train/camA_000089_0134.90.jpg
camA,data/cams/camA_20fps.mp4,2728,136.4,train,data/vehicle_dataset/images/train/camA_000090_0136.40.jpg
camA,data/cams/camA_20fps.mp4,2758,137.9,train,data/vehicle_dataset/images/train/camA_000091_0137.90.jpg
camA,data/cams/camA_20fps.mp4,2788,139.4,train,data/vehicle_dataset/images/train/camA_000092_0139.40.jpg
camA,data/cams/camA_20fps.mp4,2819,140.95,train,data/vehicle_dataset/images/train/camA_000093_0140.95.jpg
camA,data/cams/camA_20fps.mp4,2849,142.45,train,data/vehicle_dataset/images/train/camA_000094_0142.45.jpg
camA,data/cams/camA_20fps.mp4,2879,143.95,train,data/vehicle_dataset/images/train/camA_000095_0143.95.jpg
camA,data/cams/camA_20fps.mp4,2909,145.45,train,data/vehicle_dataset/images/train/camA_000096_0145.45.jpg
camA,data/cams/camA_20fps.mp4,2939,146.95,train,data/vehicle_dataset/images/train/camA_000097_0146.95.jpg
camA,data/cams/camA_20fps.mp4,2969,148.45,train,data/vehicle_dataset/images/train/camA_000098_0148.45.jpg
camA,data/cams/camA_20fps.mp4,2999,149.95,train,data/vehicle_dataset/images/train/camA_000099_0149.95.jpg
camA,data/cams/camA_20fps.mp4,3030,151.5,train,data/vehicle_dataset/images/train/camA_000100_0151.50.jpg
camA,data/cams/camA_20fps.mp4,3060,153.0,train,data/vehicle_dataset/images/train/camA_000101_0153.00.jpg
camA,data/cams/camA_20fps.mp4,3090,154.5,train,data/vehicle_dataset/images/train/camA_000102_0154.50.jpg
camA,data/cams/camA_20fps.mp4,3120,156.0,train,data/vehicle_dataset/images/train/camA_000103_0156.00.jpg
camA,data/cams/camA_20fps.mp4,3150,157.5,train,data/vehicle_dataset/images/train/camA_000104_0157.50.jpg
camA,data/cams/camA_20fps.mp4,3180,159.0,train,data/vehicle_dataset/images/train/camA_000105_0159.00.jpg
camA,data/cams/camA_20fps.mp4,3210,160.5,train,data/vehicle_dataset/images/train/camA_000106_0160.50.jpg
camA,data/cams/camA_20fps.mp4,3241,162.05,train,data/vehicle_dataset/images/train/camA_000107_0162.05.jpg
camA,data/cams/camA_20fps.mp4,3271,163.55,train,data/vehicle_dataset/images/train/camA_000108_0163.55.jpg
camA,data/cams/camA_20fps.mp4,3301,165.05,train,data/vehicle_dataset/images/train/camA_000109_0165.05.jpg
camA,data/cams/camA_20fps.mp4,3331,166.55,train,data/vehicle_dataset/images/train/camA_000110_0166.55.jpg
camA,data/cams/camA_20fps.mp4,3361,168.05,train,data/vehicle_dataset/images/train/camA_000111_0168.05.jpg
camA,data/cams/camA_20fps.mp4,3391,169.55,train,data/vehicle_dataset/images/train/camA_000112_0169.55.jpg
camA,data/cams/camA_20fps.mp4,3422,171.1,train,data/vehicle_dataset/images/train/camA_000113_0171.10.jpg
camA,data/cams/camA_20fps.mp4,3452,172.6,train,data/vehicle_dataset/images/train/camA_000114_0172.60.jpg
camA,data/cams/camA_20fps.mp4,3482,174.1,train,data/vehicle_dataset/images/train/camA_000115_0174.10.jpg
camA,data/cams/camA_20fps.mp4,3512,175.6,train,data/vehicle_dataset/images/train/camA_000116_0175.60.jpg
camA,data/cams/camA_20fps.mp4,3542,177.1,train,data/vehicle_dataset/images/train/camA_000117_0177.10.jpg
camA,data/cams/camA_20fps.mp4,3572,178.6,train,data/vehicle_dataset/images/train/camA_000118_0178.60.jpg
camA,data/cams/camA_20fps.mp4,3602,180.1,train,data/vehicle_dataset/images/train/camA_000119_0180.10.jpg
camA,data/cams/camA_20fps.mp4,3633,181.65,train,data/vehicle_dataset/images/train/camA_000120_0181.65.jpg
camA,data/cams/camA_20fps.mp4,3663,183.15,train,data/vehicle_dataset/images/train/camA_000121_0183.15.jpg
